DATE,GRADE,LOCAL_DATE,STUDENT_ID,STUDENT_GRADE_GENERATED_ID,COURSEID_ACRONYM,COURSEID_NAME,EDITION_PROGRAMME_ACRONYM,EDITION_SCHOOL_YEAR,PROGRAMME_ACRONYM
2023-10-15,10,2023-09-01,1000001,"",ARIT,Arithmancy,CSD,550e8400-e29b-41d4-a716-446655440009,CSD
2024-10-10,15,2024-09-01,1000001,"",AST1,Astronomy I,CSD,550e8400-e29b-41d4-a716-446655440010,CSD
2025-10-05,14,2025-09-01,1000001,"",ALCH,Alchemy,CSD,550e8400-e29b-41d4-a716-446655440011,CSD
2025-10-12,17,2025-09-01,1000001,"",ARIT,Arithmancy,CSD,550e8400-e29b-41d4-a716-446655440011,CSD
2023-10-15,10,2023-09-01,1000002,"",ARIT,Arithmancy,CSD,550e8400-e29b-41d4-a716-446655440009,CSD
2023-10-15,14,2023-09-01,1000003,"",ARIT,Arithmancy,CSD,550e8400-e29b-41d4-a716-446655440009,CSD
2023-10-15,15,2023-09-01,1000004,"",ARIT,Arithmancy,CSD,550e8400-e29b-41d4-a716-446655440009,CSD
2023-10-15,10,2023-09-01,1000005,"",ARIT,Arithmancy,CSD,550e8400-e29b-41d4-a716-446655440009,CSD
2024-10-10,12,2024-09-01,1000006,"",AST1,Astronomy I,CSD,550e8400-e29b-41d4-a716-446655440010,CSD
2024-10-10,18,2024-09-01,1000007,"",AST1,Astronomy I,CSD,550e8400-e29b-41d4-a716-446655440010,CSD
2025-10-12,18,2025-09-01,1000007,"",ARIT,Arithmancy,CSD,550e8400-e29b-41d4-a716-446655440011,CSD
,,,,,,,,,
2023-12-12,10,2023-09-01,1000008,"",ARIT,Arithmancy,CSD,550e8400-e29b-41d4-a716-446655440009,CSD
2023-12-12,11,2023-09-01,1000009,"",ARIT,Arithmancy,CSD,550e8400-e29b-41d4-a716-446655440009,CSD
2023-12-12,12,2023-09-01,1000010,"",ARIT,Arithmancy,CSD,550e8400-e29b-41d4-a716-446655440009,CSD
2023-12-12,10,2023-09-01,1000011,"",ARIT,Arithmancy,CSD,550e8400-e29b-41d4-a716-446655440009,CSD
2023-12-12,15,2023-09-01,1000012,"",ARIT,Arithmancy,CSD,550e8400-e29b-41d4-a716-446655440009,CSD
2023-12-12,15,2023-09-01,1000013,"",ARIT,Arithmancy,CSD,550e8400-e29b-41d4-a716-446655440009,CSD
2023-12-12,15,2023-09-01,1000014,"",ARIT,Arithmancy,CSD,550e8400-e29b-41d4-a716-446655440009,CSD
2023-12-12,18,2023-09-01,1000015,"",ARIT,Arithmancy,CSD,550e8400-e29b-41d4-a716-446655440009,CSD
2023-12-12,18,2023-09-01,1000016,"",ARIT,Arithmancy,CSD,550e8400-e29b-41d4-a716-446655440009,CSD
2023-12-12,15,2023-09-01,1000017,"",ARIT,Arithmancy,CSD,550e8400-e29b-41d4-a716-446655440009,CSD
2023-12-12,15,2023-09-01,1000018,"",ARIT,Arithmancy,CSD,550e8400-e29b-41d4-a716-446655440009,CSD
2023-12-12,12,2023-09-01,1000019,"",ARIT,Arithmancy,CSD,550e8400-e29b-41d4-a716-446655440009,CSD
